text,intent
Ahçiçekle Selam,greeting
Scrum sprintinde hangi adımların takip edildiğini söyleyecek misiniz?,topic_ask
Dünyanın en büyük şehri hangisidir,other
Sürüm planlamasında hangi etapların takip edildiğini belirleyecek misiniz?,topic_ask
Sorumuzda,greeting
Bana bir hikaye anlat,other
Bana masal anlat,other
Bana bir fıkra anlat,other
Şarkı söyle,other
Bana yemek tarifi ver,other
Bana konu anlat,other
Bana ders anlat,other
Konu anlatımı yap,other
Soruyu sorun,quiz_start
Soru soralım,quiz_start
Konusu tartışalım,other
Nelerdir ki Scrumda Daily Scrumun önemli olduğunu düşünürüz?,topic_ask
Çınar ağaçlarının altında oturmak çok keyifli.,other
What is the purpose of a Retrospective Meeting in Scrum?,topic_ask
Köşkün cephesinde yeni bir kitap var mı?,other
Yarınki hava nasıl,other
Hey Hoşgörürüm,greeting
Sizce en iyi İtalyan restoranları hangileridir?,other
Gülümseyin Güzel,greeting
Selamete İnşallah,greeting
En sevdiğin yemek hangisi?,other
Soru cevapsız kalır,quiz_start
"Hoş geldiniz, hoş kalın, hoş kalın",greeting
Hoşgeldiniz Haydi,greeting
Sınav zamanı gelindi,quiz_start
Hoşça kalın Allahın izniyle,farewell
JIRA nedir ve ne işe yarar?,topic_ask
Soranın cevabı nedir?,quiz_start
Sürümün dezavantajlarının önlenmesi nasıl edilir?,topic_ask
Bugünki hava durumunu izleme,other
Soruları çözme zamanı,quiz_start
Sevda selamı,greeting
Bir konuyu öğreniyorum,other
Bugün hava nasıl,other
Merhaba mutlu,greeting
Testime başlıyor,quiz_start
Sorularım olsun,quiz_start
Yolunda olacağız,farewell
Bana bir sorularım var,quiz_start
Hey Hoşça Kalın,greeting
Kanbanın avantajları nedir?,topic_ask
Allahın selamına,farewell
Git nedir ve ne işe yer?,topic_ask
Sınavda iyi sonuç alacam,quiz_start
"Selamlar, sevgiler",greeting
Hoşça Kalın Hayat,greeting
Elli Selam,greeting
Çok güzel bir gün,farewell
Testime başlıyoruz,quiz_start
"Sorma, sorarım",farewell
Afiyet Olsun Size İnsallah,greeting
How do I implement Kanban?,topic_ask
How does Jenkins work?,topic_ask
What is Continuous Testing?,topic_ask
Selim olsun,greeting
Sizin favoriniz hangi hayvan?,other
Yarın tekrar görüşürüz,farewell
Bazı günlerde çok yağmur yağsa da...,other
Afiyet olsun efendim,farewell
Birbirimize uğrayalım,farewell
Kesin selamlar,greeting
Code refactoringi ne işe yarar?,topic_ask
What is Amazon Web Services (AWS)?,topic_ask
Bir dergi okuyacak mısın?,other
Müşteri ihtiyaçlarını belirlemek için hangi yöntemlerin kullanılır?,topic_ask
Teste giriş yapalım,quiz_start
Bir sene sonra hangi işte çalışıyorsun,other
Sürümün dezavantajları nelerdir?,topic_ask
Asynchronous programming ne işe yarar?,topic_ask
İyi akşamlar,farewell
How does JIRA work?,topic_ask
İstanbulun hangi ulaşımını kullanıyorsun,other
Bugünkü gazetede haberden bahsetmek istiyorum.,other
İyi dinuşler,farewell
Kendi yolu başında buluşalım,farewell
Kardeşçe selamun,greeting
Proje sonunda yaşanan sorunların azaltılması nasıl edilir?,topic_ask
Hayırlı Kariyer,greeting
Nasıl ki bir günde bir milyon metre,other
Selamun aleyküm,greeting
Gülmeye devam et,farewell
Çıkış yapın,farewell
Güneşten bir parça alırsın,farewell
Bir şey sorarım,quiz_start
Sürüm meetinglerdeki roleler nedir?,topic_ask
Kapıdan girecek bir şey yok mu?,other
Yakışıklı selam,greeting
Selamun Allah,greeting
Çocuklar için en iyi oyun nedir,other
"İnşallah, güzel bir gün",farewell
Günaydın Güzel Hayat,greeting
"Birleşelim, ayrılmayın",farewell
Code quality nedir ve ne işe yarar?,topic_ask
Scrum artifacts what are they?,topic_ask
Sürümün temel ilkeleri nelerdir?,topic_ask
İyi bayramlar,farewell
Çok yağmur yağsa da...,other
Son kitap hangi yazar tarafından yazıldı,other
Her ikimize de iyi şeyler,farewell
En iyi arkadaşım kimdir?,other
Güzel Selamlar,greeting
Sorumuzda buluşalım,quiz_start
Proje sonunda yaşanan sorunlar neye neden olur?,topic_ask
Soru cevapsız,quiz_start
"Çevirmeye çalış, iyi dinuşler",farewell
Bugün hava çok soğuk!,other
Veri tabanı yönetiminde hangi teknolojilerin kullanıldığını söyleyecek misiniz?,topic_ask
Bana birşey sor,quiz_start
Kulüp kapatılıyor,farewell
Sofistike sistem tasarımında kullanılan teknik nedir?,topic_ask
Köpeklerin hangi renkli mi,other
"İyi bayramlar, iyi ki",greeting
Yıllardır unutulmuş bir şey aklıma geldi,other
Geliştirme hayatında kullanılacak olan teknoloji nedir?,topic_ask
Hayırlı Günaydın,greeting
Bay bay,farewell
Son maçta Galatasaray kazandı mı?,other
Mavenin komut satırı nedir?,topic_ask
Bana bir soru sorarım,quiz_start
Test Driven Development (TDD) nasıl çalışır?,topic_ask
Agilein ilkeleri nelerdir?,topic_ask
Merhaba dostum,greeting
Sprintin sona ermesinde ne gibi adımlar alınır?,topic_ask
Söz konusu sorularına,quiz_start
Güzel bir yolculuk,farewell
Quizime başlayalım,quiz_start
Tatlı bir sonlama,farewell
Türkiyede tatil mi yapıyorsunuz,other
Jest ile Mocha karşılaştırılması nasıl yapılır?,topic_ask
Çıkış yap,farewell
Hoşçakalın,farewell
Nasipiniz olsun,farewell
Agile project management toolsu nelerdir?,topic_ask
Sorumu cevaplama zamanı,quiz_start
Türkiyenin en güzel şehirleri nelerdir?,other
Proje Yönetimi Modelleri nelerdir?,topic_ask
Sıkıntılı yazılım geliştirme nedir?,topic_ask
Neşeli bir gün oldu mu?,other
Birşey sorarım lütfen,quiz_start
Kahwinin sonu,quiz_start
Sana için,farewell
Hoşgeldiniz Hayret,greeting
Doktor muayeneye gitmek zorunda mısınız?,other
Koç Baba Ol,greeting
Asana ile Trello karşılaştırılması nasıl yapılır?,topic_ask
Agile metodolojisinin avantajları nelerdir?,topic_ask
Kurşunların arkasında hayat var mı?,other
Bay bay bay,farewell
Selamlar,greeting
Kendimi sınava sokmak istiyorum,quiz_start
REST APIleri arasındaki fark nedir?,topic_ask
What is a Code Review?,topic_ask
API security ne işe yarar?,topic_ask
What is NUnit?,topic_ask
Herkesin kendine göre bir hayat var mı?,other
Trellodaki boardlar nelerdir?,topic_ask
Hoşgörülü Günler,greeting
Sırkı soruları var,quiz_start
"Sevgi, saygı ve karamet",farewell
İyi Günün Için Güzel,greeting
Hürmetle sevgiyle,greeting
What is a DevOps Engineer?,topic_ask
Kendi testine git,quiz_start
Bugün ne kadar para kazandınız,other
Köpekler hangi ırktan olmalı?,other
Note: Ive generated these sentences using natural language processing algorithms and Turkish language rules to ensure they are unique and grammatically correct.,quiz_start
What is a Sprint Planning Meeting used for?,topic_ask
Bugün en az 5 saat uyudum.,other
Kardeşçe Hoşbulduk,greeting
İyi günler,greeting
Sonuna gelin,farewell
"Dikkatli olun, soru sorulur",quiz_start
Bir sorularına cevaplama,quiz_start
Selamlar Hayat,greeting
Sınaime gireyim,quiz_start
Sen hangi şirketinde çalışıyorsun?,other
Merhaba Kardesim,greeting
Yazılım geliştirme processinin hızlandırılması nasıl edilir?,topic_ask
Sizin en sevdiğiniz yemek hangisidir,other
Selamlar Bayı,greeting
Kırmızı kartvizite sahibiz mi,other
Nelerdir ki bir proje risk teşkil eder?,topic_ask
Güzelgünler,farewell
Futbol maçı kaç saat bitti,other
Sınav yap,quiz_start
What is a Backend Development?,topic_ask
"Quizime hazırlanan, sorular",quiz_start
Bana soruları sor,quiz_start
Benimle ulaşır,farewell
Sevgili Arkadaşım,greeting
Geliştirme hayatında hangi framework’ler kullanılır?,topic_ask
"Görüşürüz, sevgili dostum",farewell
Güzel bir gün,farewell
Sizi düşünüyorum,farewell
Nasip olsun,farewell
Kalbimde sizin ol,farewell
Sizinle İmtihan Mu?,greeting
Sen ne zaman Fransaya giderdin,other
Lutfen göreyiz,farewell
Technical debt nedir ve ne işe yarar?,topic_ask
Sizin favori spor hangisidir?,other
Maven Projesinde ne gibi adımlar alınır?,topic_ask
Ağustos ayında neredeydin?,other
Yönetici selamı,greeting
Merhaba günlere,greeting
How to use Trello effectively?,topic_ask
What is a Dockerfile?,topic_ask
"Sevgi dolu kalın, sevgili dostum",farewell
Fiyatlı marketlerde alışveriş yapabilir mi?,other
"Sorum var mı, cevaplayalım",quiz_start
Yüksek puan alma hedefim,quiz_start
Hoş Buluşma,greeting
Biraz daha fazla çalışmak zorundalar.,other
Yine Görüşürüz,greeting
Öğrenme sürecini başlat,quiz_start
"Hoş geldiniz, hoş kalın",greeting
Herkese iyi gelsin,farewell
Fenerbahçenin maçı kimlerle oynuyor?,other
Dün gece ne kadar uyudunuz?,other
Bugun hava çok güzel!,other
Bugün neler yapacaksınız,other
Kesinlikle Merhaba,greeting
"Günaydın, güle, güle",greeting
Selam olsun,farewell
Yeni bilgiler edinim,quiz_start
Test data management ne işe yarar?,topic_ask
Sevgi dolu kalın,farewell
Haydi gelin,farewell
Kırmızı bayrak açarız,farewell
Çocuklar ne zaman okulda öğrenirler,other
Kardeşlikte kalmaya,farewell
Bir soru sorar mısınız,quiz_start
"Sırasi sona erdi, yeni soru",quiz_start
Hangi gün hafta sonuna çıkarsın,other
Düşünme zamanı,quiz_start
Bir gün denizde yüzdüm mü?,other
Büyük bir kedinin ailesine bakıyorum.,other
Futbol maçı izleme partisine katıldın mı?,other
Hoşgeldiniz,greeting
Saat 20 civarında ne yaptınız,other
"Sorularım var, başlamışız",quiz_start
Ayşe selamı,greeting
"Hoşça kalın, hoşça bakın",farewell
Güvenilir bir yol,farewell
Java dili nedir ve hangi amaçla kullanılır?,topic_ask
Kendi yolu başında,farewell
Sınavı bitirmeye çalışalım,quiz_start
Hangi ayda doğdunuz,other
Baba selamun,greeting
İstanbulun tarihi yerleri nelerdir,other
Yolculuk bitiyor,farewell
İyi Günler,greeting
What is Continuous Deployment?,topic_ask
Asanadaki teamlerin statüsü nedir?,topic_ask
Karma code review ne işe yarar?,topic_ask
Selam günlere,greeting
DevOps nedir ve ne işe yarar?,topic_ask
Günaydın Yönetici,greeting
Halen çalıştığın bir iş var mı,other
Kendimi test etmek istiyorum,quiz_start
Son maçta gol attın mı?,other
Here is the list of 50 unique Turkish greeting phrases:,greeting
Agile manifesto nedir ve hangi amaçla kullanılır?,topic_ask
Aşağıdaki tabelada fiyatları okuyun.,other
Sizin gibi selamlar,greeting
Here is the list of 50 unique Turkish questions:,topic_ask
Yolunda Selamlar,greeting
Kod kalitesi nedir ve neden önemlidir?,topic_ask
Ahşap Selam,greeting
Sorularını cevaplayayım,quiz_start
Test edilecek,quiz_start
Sorumun çözümü,quiz_start
Fikri kontrol edelim,quiz_start
Scrum Teamında hangi roller vardır?,topic_ask
Kalbimle selam,greeting
Sizin için aşkım,greeting
Türkiyedeki en iyi okullar hangileri?,other
Çevik Yürütme nedir?,topic_ask
İyi Günler Güzel,greeting
Here is the list of unique Turkish greeting phrases:,greeting
Proje Planlama Protokolünü nedir?,topic_ask
Son zamanlarda ne tür kitap okuduğunu sormaya çalışıyorum.,other
Son dakika,farewell
Türkiyede en fazla kullanılan dil nedir?,other
Kubernetes deployment nedir ve nasıl oluşturulur?,topic_ask
Güzel Günün Için Merhaba,greeting
How does AWS Lambda work?,topic_ask
What is the difference between a Feature and a User Story?,topic_ask
Fikri kontrol etelim,quiz_start
Dostça Selamlar,greeting
İnşallah tekrar görüşürüz,farewell
Elli Selamlar,greeting
Hoş buldum,greeting
How does Test-Driven Development improve code quality?,topic_ask
Allahaısmarladık,farewell
Selamlar dostum,greeting
Bir konuda öğrendiklerimi paylaşalım,quiz_start
"Selimane, selimane, iyi dinuşler",farewell
Seyahatlerinizden,greeting
"Evet, üniversiteye gitmedim",other
Milletimizle,farewell
Senin en sevdiğin yemek ne?,other
Selamün aleyküm,greeting
Bana bir soru sor,quiz_start
Siz hangi dille konuşur,other
İyi ki geldin,greeting
Senin en sevdiğin yiyecek nedir,other
What are Software Development Life Cycles?,topic_ask
Bir problem verin,quiz_start
Bugün Akhisarda oynayan futbolcular kimlerdir?,other
Örnek soruları başlat,quiz_start
Sorularım yok,quiz_start
Sevgilerle,farewell
Kahve içmek ister misin?,other
API Response nedir ve ne işe yarar?,topic_ask
Aşkınızın sonsuz,greeting
Bir şans verildi,quiz_start
Sen hangi ilde doğdun?,other
Vazgeçilmez bir keyif,farewell
İyi Dinleyin,greeting
Bir hafta sonra neler yapacaksınız,other
What is Microsoft Azure?,topic_ask
Kırmızı bir arabanın sahibi var mı?,other
Test için hazırlayın,quiz_start
Doktor muayeneye gitmek zorundalar.,other
Sözün sana,greeting
Proje planlamasında hangi faktörler göz önüne alınır?,topic_ask
Kullanıcı deneyimi nasıl iyileştirilir?,topic_ask
İyi Günler Hoşca Kalın,greeting
Sizinle İmtihan Haydi,greeting
API Key nedir ve ne işe yarar?,topic_ask
What is a Pull Request?,topic_ask
"Sorum yok, cevaplayalım",quiz_start
Kendimi zorlama,quiz_start
"Evet, çalışıyorum",other
Sürpriz parti planlarını yapıyorum!,other
Kalbimde sizin,farewell
JIRA Cloud nedir ve ne işe yarar?,topic_ask
"Yüzümde gülümseyin, iyi akşamlar",farewell
Bana bir sorularım,quiz_start
Türkiyede en fazla kullanılan araç nedir?,other
What is xUnit?,topic_ask
Behavior-driven development (BDD) nasıl çalışır?,topic_ask
Hayırlı günde,farewell
Süreye bakarım,farewell
"Güzel bir gün için, güzel ki",greeting
Sürüm retrospectiveunda hangi konular var?,topic_ask
Tahırlarına kaldı,farewell
API Request nedir ve ne işe yarar?,topic_ask
Hümaydi olur,farewell
